questionnaire,question_id,question_text,answer
person,age,,24
person,gender,,Male
person,nationality,,France – French Republic
personality_pre,1,"Is outgoing, sociable",2
personality_pre,2,"Is compassionate, has a soft heart",4
personality_pre,3,Tends to be disorganized,1
personality_pre,4,"Is relaxed, handles stress well",3
personality_pre,5,Has few artistic interests,2
personality_pre,6,Has an assertive personality,1
personality_pre,7,"Is respectful, treats others with respect",4
personality_pre,8,Tends to be lazy,1
personality_pre,9,Stays optimistic after experiencing a setback,2
personality_pre,10,Is curious about many different things,5
personality_pre,11,Rarely feels excited or eager,3
personality_pre,12,Tends to find fault with others,4
personality_pre,13,"Is dependable, steady",3
personality_pre,14,"Is moody, has up and down mood swings",4
personality_pre,15,"Is inventive, finds clever ways to do things",4
personality_pre,16,Tends to be quiet,5
personality_pre,17,Feels little sympathy for others,2
personality_pre,18,"Is systematic, likes to keep things in order",4
personality_pre,19,Can be tense,5
personality_pre,20,"Is fascinated by art, music, or literature",3
personality_pre,21,"Is dominant, acts as a leader",1
personality_pre,22,Starts arguments with others,1
personality_pre,23,Has difficulty getting started on tasks,2
personality_pre,24,"Feels secure, comfortable with self",3
personality_pre,25,"Avoids intellectual, philosophical discussions",2
personality_pre,26,Is less active than other people,2
personality_pre,27,Has a forgiving nature,4
personality_pre,28,Can be somewhat careless,3
personality_pre,29,"Is emotionally stable, not easily upset",3
personality_pre,30,Has little creativity,2
personality_pre,31,"Is sometimes shy, introverted",5
personality_pre,32,Is helpful and unselfish with others,4
personality_pre,33,Keeps things neat and tidy,4
personality_pre,34,Worries a lot,4
personality_pre,35,Values art and beauty,4
personality_pre,36,Finds it hard to influence people,4
personality_pre,37,Is sometimes rude to others,4
personality_pre,38,"Is efficient, gets things done",5
personality_pre,39,Often feels sad,4
personality_pre,40,"Is complex, a deep thinker",4
personality_pre,41,Is full of energy,3
personality_pre,42,Is suspicious of others’ intentions,4
personality_pre,43,"Is reliable, can always be counted on",3
personality_pre,44,Keeps their emotions under control,4
personality_pre,45,Has difficulty imagining things,1
personality_pre,46,Is talkative,1
personality_pre,47,Can be cold and uncaring,4
personality_pre,48,"Leaves a mess, doesn’t clean up",1
personality_pre,49,Rarely feels anxious or afraid,1
personality_pre,50,Thinks poetry and plays are boring,2
personality_pre,51,Prefers to have others take charge,2
personality_pre,52,"Is polite, courteous to others",4
personality_pre,53,"Is persistent, works until the task is finished",3
personality_pre,54,"Tends to feel depressed, blue",4
personality_pre,55,Has little interest in abstract ideas,1
personality_pre,56,Shows a lot of enthusiasm,3
personality_pre,57,Assumes the best about people,2
personality_pre,58,Sometimes behaves irresponsibly,3
personality_pre,59,"Is temperamental, gets emotional easily",3
personality_pre,60,"Is original, comes up with new ideas",4
partner_traits,extraversion,,0.62
partner_traits,neuroticism,,0.53
partner_traits,openness,,0.7
partner_traits,agreeableness,,0.84
partner_traits,conscientiousness,,0.72
personality_after,1,"Is outgoing, sociable",2
personality_after,2,"Is compassionate, has a soft heart",4
personality_after,3,Tends to be disorganized,2
personality_after,4,"Is relaxed, handles stress well",2
personality_after,5,Has few artistic interests,2
personality_after,6,Has an assertive personality,1
personality_after,7,"Is respectful, treats others with respect",4
personality_after,8,Tends to be lazy,1
personality_after,9,Stays optimistic after experiencing a setback,2
personality_after,10,Is curious about many different things,5
personality_after,11,Rarely feels excited or eager,3
personality_after,12,Tends to find fault with others,3
personality_after,13,"Is dependable, steady",3
personality_after,14,"Is moody, has up and down mood swings",4
personality_after,15,"Is inventive, finds clever ways to do things",4
personality_after,16,Tends to be quiet,5
personality_after,17,Feels little sympathy for others,3
personality_after,18,"Is systematic, likes to keep things in order",3
personality_after,19,Can be tense,4
personality_after,20,"Is fascinated by art, music, or literature",3
personality_after,21,"Is dominant, acts as a leader",1
personality_after,22,Starts arguments with others,1
personality_after,23,Has difficulty getting started on tasks,3
personality_after,24,"Feels secure, comfortable with self",2
personality_after,25,"Avoids intellectual, philosophical discussions",2
personality_after,26,Is less active than other people,2
personality_after,27,Has a forgiving nature,3
personality_after,28,Can be somewhat careless,2
personality_after,29,"Is emotionally stable, not easily upset",3
personality_after,30,Has little creativity,2
personality_after,31,"Is sometimes shy, introverted",5
personality_after,32,Is helpful and unselfish with others,3
personality_after,33,Keeps things neat and tidy,4
personality_after,34,Worries a lot,4
personality_after,35,Values art and beauty,4
personality_after,36,Finds it hard to influence people,4
personality_after,37,Is sometimes rude to others,4
personality_after,38,"Is efficient, gets things done",5
personality_after,39,Often feels sad,4
personality_after,40,"Is complex, a deep thinker",4
personality_after,41,Is full of energy,3
personality_after,42,Is suspicious of others’ intentions,3
personality_after,43,"Is reliable, can always be counted on",4
personality_after,44,Keeps their emotions under control,4
personality_after,45,Has difficulty imagining things,1
personality_after,46,Is talkative,1
personality_after,47,Can be cold and uncaring,4
personality_after,48,"Leaves a mess, doesn’t clean up",2
personality_after,49,Rarely feels anxious or afraid,2
personality_after,50,Thinks poetry and plays are boring,2
personality_after,51,Prefers to have others take charge,2
personality_after,52,"Is polite, courteous to others",4
personality_after,53,"Is persistent, works until the task is finished",3
personality_after,54,"Tends to feel depressed, blue",4
personality_after,55,Has little interest in abstract ideas,1
personality_after,56,Shows a lot of enthusiasm,3
personality_after,57,Assumes the best about people,3
personality_after,58,Sometimes behaves irresponsibly,3
personality_after,59,"Is temperamental, gets emotional easily",4
personality_after,60,"Is original, comes up with new ideas",4
strategy,self,,"First tried to discard the immobile obstacle, then tried to find my partner. Each time I encountered an object that could be my partner, I stopped there and moved a bit around to see if it would try to search me. If the object follows me around during these small hops, I assume this is my partner."
strategy,other,,"I think my partner first searched around the space for me, then would stop at my position and then try to follow me as soon as he would identify me."
strategy,comment,,
