questionnaire,question_id,question_text,answer
person,age,,48
person,gender,,Female
person,nationality,,Canada
personality_pre,1,"Is outgoing, sociable",5
personality_pre,2,"Is compassionate, has a soft heart",5
personality_pre,3,Tends to be disorganized,2
personality_pre,4,"Is relaxed, handles stress well",4
personality_pre,5,Has few artistic interests,4
personality_pre,6,Has an assertive personality,4
personality_pre,7,"Is respectful, treats others with respect",5
personality_pre,8,Tends to be lazy,1
personality_pre,9,Stays optimistic after experiencing a setback,5
personality_pre,10,Is curious about many different things,3
personality_pre,11,Rarely feels excited or eager,1
personality_pre,12,Tends to find fault with others,2
personality_pre,13,"Is dependable, steady",5
personality_pre,14,"Is moody, has up and down mood swings",3
personality_pre,15,"Is inventive, finds clever ways to do things",1
personality_pre,16,Tends to be quiet,3
personality_pre,17,Feels little sympathy for others,1
personality_pre,18,"Is systematic, likes to keep things in order",4
personality_pre,19,Can be tense,5
personality_pre,20,"Is fascinated by art, music, or literature",2
personality_pre,21,"Is dominant, acts as a leader",5
personality_pre,22,Starts arguments with others,1
personality_pre,23,Has difficulty getting started on tasks,4
personality_pre,24,"Feels secure, comfortable with self",4
personality_pre,25,"Avoids intellectual, philosophical discussions",5
personality_pre,26,Is less active than other people,1
personality_pre,27,Has a forgiving nature,4
personality_pre,28,Can be somewhat careless,2
personality_pre,29,"Is emotionally stable, not easily upset",2
personality_pre,30,Has little creativity,3
personality_pre,31,"Is sometimes shy, introverted",1
personality_pre,32,Is helpful and unselfish with others,4
personality_pre,33,Keeps things neat and tidy,2
personality_pre,34,Worries a lot,5
personality_pre,35,Values art and beauty,2
personality_pre,36,Finds it hard to influence people,1
personality_pre,37,Is sometimes rude to others,1
personality_pre,38,"Is efficient, gets things done",4
personality_pre,39,Often feels sad,3
personality_pre,40,"Is complex, a deep thinker",1
personality_pre,41,Is full of energy,5
personality_pre,42,Is suspicious of others’ intentions,2
personality_pre,43,"Is reliable, can always be counted on",5
personality_pre,44,Keeps their emotions under control,3
personality_pre,45,Has difficulty imagining things,4
personality_pre,46,Is talkative,5
personality_pre,47,Can be cold and uncaring,1
personality_pre,48,"Leaves a mess, doesn’t clean up",3
personality_pre,49,Rarely feels anxious or afraid,4
personality_pre,50,Thinks poetry and plays are boring,5
personality_pre,51,Prefers to have others take charge,2
personality_pre,52,"Is polite, courteous to others",4
personality_pre,53,"Is persistent, works until the task is finished",4
personality_pre,54,"Tends to feel depressed, blue",3
personality_pre,55,Has little interest in abstract ideas,2
