questionnaire,question_id,question_text,answer
person,age,,23
person,gender,,Male
person,nationality,,France – French Republic
personality_pre,1,"Is outgoing, sociable",5
personality_pre,2,"Is compassionate, has a soft heart",5
personality_pre,3,Tends to be disorganized,1
personality_pre,4,"Is relaxed, handles stress well",5
personality_pre,5,Has few artistic interests,4
personality_pre,6,Has an assertive personality,5
personality_pre,7,"Is respectful, treats others with respect",5
personality_pre,8,Tends to be lazy,1
personality_pre,9,Stays optimistic after experiencing a setback,4
personality_pre,10,Is curious about many different things,5
personality_pre,11,Rarely feels excited or eager,1
personality_pre,12,Tends to find fault with others,4
personality_pre,13,"Is dependable, steady",5
personality_pre,14,"Is moody, has up and down mood swings",4
personality_pre,15,"Is inventive, finds clever ways to do things",4
personality_pre,16,Tends to be quiet,1
personality_pre,17,Feels little sympathy for others,2
personality_pre,18,"Is systematic, likes to keep things in order",4
personality_pre,19,Can be tense,2
personality_pre,20,"Is fascinated by art, music, or literature",4
personality_pre,21,"Is dominant, acts as a leader",4
personality_pre,22,Starts arguments with others,5
personality_pre,23,Has difficulty getting started on tasks,1
personality_pre,24,"Feels secure, comfortable with self",4
personality_pre,25,"Avoids intellectual, philosophical discussions",1
personality_pre,26,Is less active than other people,1
personality_pre,27,Has a forgiving nature,5
personality_pre,28,Can be somewhat careless,4
personality_pre,29,"Is emotionally stable, not easily upset",5
personality_pre,30,Has little creativity,2
personality_pre,31,"Is sometimes shy, introverted",1
personality_pre,32,Is helpful and unselfish with others,4
personality_pre,33,Keeps things neat and tidy,5
personality_pre,34,Worries a lot,1
personality_pre,35,Values art and beauty,2
personality_pre,36,Finds it hard to influence people,3
personality_pre,37,Is sometimes rude to others,4
personality_pre,38,"Is efficient, gets things done",4
personality_pre,39,Often feels sad,2
personality_pre,40,"Is complex, a deep thinker",5
personality_pre,41,Is full of energy,5
personality_pre,42,Is suspicious of others’ intentions,2
personality_pre,43,"Is reliable, can always be counted on",5
personality_pre,44,Keeps their emotions under control,5
personality_pre,45,Has difficulty imagining things,1
personality_pre,46,Is talkative,5
personality_pre,47,Can be cold and uncaring,4
personality_pre,48,"Leaves a mess, doesn’t clean up",1
personality_pre,49,Rarely feels anxious or afraid,4
personality_pre,50,Thinks poetry and plays are boring,4
personality_pre,51,Prefers to have others take charge,1
personality_pre,52,"Is polite, courteous to others",5
personality_pre,53,"Is persistent, works until the task is finished",5
personality_pre,54,"Tends to feel depressed, blue",2
personality_pre,55,Has little interest in abstract ideas,1
personality_pre,56,Shows a lot of enthusiasm,5
personality_pre,57,Assumes the best about people,2
personality_pre,58,Sometimes behaves irresponsibly,5
personality_pre,59,"Is temperamental, gets emotional easily",2
personality_pre,60,"Is original, comes up with new ideas",5
partner_traits,extraversion,,0.82
partner_traits,neuroticism,,0.63
partner_traits,openness,,0.38
partner_traits,agreeableness,,0.38
partner_traits,conscientiousness,,0.37
personality_after,1,"Is outgoing, sociable",5
personality_after,2,"Is compassionate, has a soft heart",5
personality_after,3,Tends to be disorganized,1
personality_after,4,"Is relaxed, handles stress well",5
personality_after,5,Has few artistic interests,4
personality_after,6,Has an assertive personality,5
personality_after,7,"Is respectful, treats others with respect",5
personality_after,8,Tends to be lazy,1
personality_after,9,Stays optimistic after experiencing a setback,5
personality_after,10,Is curious about many different things,5
personality_after,11,Rarely feels excited or eager,1
personality_after,12,Tends to find fault with others,4
personality_after,13,"Is dependable, steady",5
personality_after,14,"Is moody, has up and down mood swings",4
personality_after,15,"Is inventive, finds clever ways to do things",5
personality_after,16,Tends to be quiet,1
personality_after,17,Feels little sympathy for others,2
personality_after,18,"Is systematic, likes to keep things in order",4
personality_after,19,Can be tense,2
personality_after,20,"Is fascinated by art, music, or literature",4
personality_after,21,"Is dominant, acts as a leader",5
personality_after,22,Starts arguments with others,5
personality_after,23,Has difficulty getting started on tasks,1
personality_after,24,"Feels secure, comfortable with self",4
personality_after,25,"Avoids intellectual, philosophical discussions",1
personality_after,26,Is less active than other people,1
personality_after,27,Has a forgiving nature,5
personality_after,28,Can be somewhat careless,4
personality_after,29,"Is emotionally stable, not easily upset",5
personality_after,30,Has little creativity,2
personality_after,31,"Is sometimes shy, introverted",1
personality_after,32,Is helpful and unselfish with others,4
personality_after,33,Keeps things neat and tidy,5
personality_after,34,Worries a lot,1
personality_after,35,Values art and beauty,2
personality_after,36,Finds it hard to influence people,3
personality_after,37,Is sometimes rude to others,4
personality_after,38,"Is efficient, gets things done",5
personality_after,39,Often feels sad,2
personality_after,40,"Is complex, a deep thinker",5
personality_after,41,Is full of energy,5
personality_after,42,Is suspicious of others’ intentions,4
personality_after,43,"Is reliable, can always be counted on",5
personality_after,44,Keeps their emotions under control,5
personality_after,45,Has difficulty imagining things,1
personality_after,46,Is talkative,5
personality_after,47,Can be cold and uncaring,4
personality_after,48,"Leaves a mess, doesn’t clean up",1
personality_after,49,Rarely feels anxious or afraid,4
personality_after,50,Thinks poetry and plays are boring,4
personality_after,51,Prefers to have others take charge,1
personality_after,52,"Is polite, courteous to others",5
personality_after,53,"Is persistent, works until the task is finished",5
personality_after,54,"Tends to feel depressed, blue",2
personality_after,55,Has little interest in abstract ideas,2
personality_after,56,Shows a lot of enthusiasm,5
personality_after,57,Assumes the best about people,2
personality_after,58,Sometimes behaves irresponsibly,5
personality_after,59,"Is temperamental, gets emotional easily",2
personality_after,60,"Is original, comes up with new ideas",5
strategy,self,,"So,there are three possible encounter. 1 is static, simply staying on it long enough will maintain the beeping sound allowing to identify it. As a player, never stay completely static to avoid the other person from thinking you are the static object. The first thing was thus to identify a static object, and advance slowly as the region in between both static object would be ideal to avoid confusion(I initially made the hypothesis they always were on either end but I question if that is true).


Differentiating between the other person and its shadow is more complex. 

If I encounter the shadow, the other player will not feel the beep and thus the shadow should keep going and not show any patterns (typically going back and forth) that the person would show otherwise. Accordingly, going slow seemed like a good tactic as it would allow me not to create a huge distance between myself and the object after the encounter, making it less probable to lose the other person and more likely to rapidly recognize any `human` pattern (which the other player would show if they felt the beep too).

In the same way, if i feel a beep I should stop advancing forward and go back and forth to see if its the other player  or the shadow (which should theoretically keep going and not show a `back and forth` behaviour). Once the other player is encountered (or thought to be), going back and forth while overall advancing towards one side together should remove any doubt about it being the static object or the shadow. Trying to stick together till the end of the trial also appeared to be the smartest move to confirm and let the other person as much time as needed to feel a sense of confirmation.

The only possibility which always doomed over me was what if we are both encountering our shadows ? And since we do not know which side our shadow is or where we start on the circle, it was difficult to come up with a counter from such experience. However, such scenario can not really be solved as the shadow will be behaving as the other player, and thus induce us to recognize it as such."
strategy,other,,"My partner appeared to move much faster, at least initially. Going back and fourth once feeling a beep seemed like a common pattern we had. I had a hard tie figuring out his strategy. There are certain times where it felt like we lost each other, and it would be interesting to know if that was the case and how it happened."
strategy,comment,,"From the question, I figured there were times where the other avatar might have been removed from my circle but i am a little unclear if that was an actual possibility. Since I was going slow, I figured that if the other person was going slow it was possible to miss each other for a while and thus chose to ignore wether I could really `feel` his presence missing. Also, I now am curious to know wether or not the static objects are always at the place, and if our shadow is always on one same side."
